* gamma + p --> p + pi+ + pi-
* gamma energy, de, mb, error
 0.373  0.021       0.00110   0.00040
 0.416  0.021       0.00400   0.00080
 0.450  0.050       0.00900   0.00100
 0.458  0.021       0.01470   0.00000
 0.501  0.021       0.03070   0.00260
 0.544  0.021       0.04430   0.00320
 0.550  0.050       0.04760   0.00300
 0.586  0.021       0.06200   0.00410
 0.629  0.021       0.07100   0.00460
 0.672  0.021       0.06320   0.00470
 0.714  0.021       0.06460   0.00490
 0.756  0.022       0.07420   0.00560
 0.799  0.021       0.06650   0.00590
 0.800  0.200       0.07720   0.00350
 0.842  0.021       0.08150   0.00730
 0.885  0.021       0.08150   0.00850
 0.927  0.021       0.07530   0.00990
 0.934  0.100       0.07890   0.00290
 0.985  0.100       0.07690   0.00330
 1.034  0.100       0.07530   0.00570
 1.086  0.100       0.07150   0.00500
 1.100  0.100       0.07020   0.00400
 1.136  0.200       0.07140   0.00450
 1.187  0.200       0.06060   0.00420
 1.236  0.200       0.06110   0.00480
 1.250  0.250       0.06350   0.00700
 1.289  0.250       0.05910   0.00520
 1.350  0.150       0.06000   0.00350
 1.443  0.025       0.05760   0.00330
 1.750  0.150       0.04170   0.00230
 1.750  0.250       0.04100   0.00480
 1.750  0.250       0.04950   0.00300
 2.000  0.100       0.03970   0.00240
 2.200  0.100       0.03850   0.00240
 2.250  0.250       0.03650   0.00200
 2.450  0.150       0.03380   0.00170
 2.500  0.500       0.03270   0.00320
 2.750  0.250       0.03120   0.00220
 2.800  0.500       0.03140   0.00130
 2.800  0.500       0.03090   0.00120
 2.925  0.325       0.02810   0.00160
 3.250  0.250       0.02680   0.00200
 3.500  0.500       0.02700   0.00310
 3.625  0.375       0.02340   0.00120
 3.750  0.250       0.02530   0.00250
 4.250  0.250       0.02070   0.00200
 4.300  0.500       0.02330   0.00130
 4.500  0.500       0.02250   0.00200
 4.700  0.500       0.02020   0.00080
 4.700  0.600       0.02050   0.00080
 5.000  1.000       0.02290   0.00310
 5.150  1.050       0.02090   0.00170
 5.250  0.750       0.01900   0.00100
 5.650  0.650       0.01950   0.00180
 6.250  0.750       0.01541   0.00118
 6.500  0.500       0.01580   0.00200
 7.000  2.000       0.01505   0.00132
 7.000  1.000       0.02000   0.00370
 7.500  0.250       0.01450   0.00120
 7.500  0.400       0.01600   0.00200
 9.000  1.000       0.01450   0.00250
 9.300  1.000       0.01470   0.00060
10.000  2.000       0.01550   0.00330
10.500  1.500       0.01435   0.00128
14.000  2.000       0.01280   0.00520
15.000  3.000       0.01437   0.00117
20.000  3.000       0.01110   0.00090

