 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.65 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.69 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.73 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.77 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.81 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.85 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.89 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.93 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  5.97 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  6.01 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  6.05 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  6.09 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  6.13 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.30  6.17 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.40  5.61 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.40  5.65 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
 -6.60 -6.14  2.40  5.69 11.50  0.00  0.00      0.      0.      0.  0.0000 0.000  0.000 3.00
